Day,Name,Solution
1,Candies,https://scrimba.com/scrim/cocb5407494ac58bbab99d64e
2,Deposit Profit,https://scrimba.com/scrim/co75e45d595cf8969ee3dca2a
3,Chunky Monkey,https://scrimba.com/scrim/co9754126bb79a31a3b60bb9a
4,Century from year,https://scrimba.com/scrim/cob3142ea9d0717266eb2ccac
5,Reverse a string,https://scrimba.com/scrim/co5c04a1392156a4d2d24467a
6,Sort by length,https://scrimba.com/scrim/co3da4b3db44544dd2da82adf
7,Count vowel consonant,https://scrimba.com/scrim/coca643b5be26b53ca07ddb25
8,Rolling dice,https://scrimba.com/scrim/cof314a958dbc88437394067c
9,Sum Odd Fibonacci Numbers,https://scrimba.com/scrim/co33044f980c8c683927e5090
10,Adjacent Elements Product,https://scrimba.com/scrim/co7dc4328b9d2ba78424ea284
11,Avoid Obstacles,https://scrimba.com/scrim/coeab448fbcf8b0327d6ed586
12,Valid Time,https://scrimba.com/scrim/co11340eebc22de0dd6f88aaa
13,Extract Each Kht,https://scrimba.com/scrim/cof5d4a70946fcbf1e183191c
14,Maximal Adjacent Difference,https://scrimba.com/scrim/cofb34fafa22a1d2c2a60de65
15,JavaScript Carousel,https://scrimba.com/scrim/cob6f49b59bbbf7148ab32ecb
16,Insert Dashes,https://scrimba.com/scrim/co28b4dfeb84f817258764dcd
17,Different symbols naive,https://scrimba.com/scrim/co187450ba0b17c671c1a21cb
18,Array previous less,https://scrimba.com/scrim/co3be4dfeb38d7abe04f02a4f
19,Alphabet Subsequence,https://scrimba.com/scrim/coc724dd08eb40df67764c962
20,Domain Type,https://scrimba.com/scrim/co0954501bb99c489143b0faa
21,Sum of 2,https://scrimba.com/scrim/cofc84c718f8e4dbbf57987d1
22,-,-
23,-,-
24,-,-
